oai_identifier,identifier,object_in_context,subject_topical 1,subject_topical 2,itemType,date_text,title,title_part,rights,repository,name,role,language,publisher,public_note,project
2015-01-09T05:10:55Z,phoenix_1967march,http://digital.lib.utk.edu/mpds/?ckey=phoenix&iid=1055,University of Tennessee (Knoxville campus) -- Students -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1959.",text,1967 March,The Phoenix,,"This compilation is copyrighted by the University of
Tennessee. Images, text, or other content downloaded from the
collection may be freely used for non-profit educational
and research purposes, or any other use falling
within the purview of ""Fair Use."" For any other use,
contact the University of Tennessee Libraries.","The University of Tennessee Libraries, Special Collections, Knoxville",University of Tennessee (Knoxville campus),Creator,eng,"The University of Tennessee Libraries, Knoxville",Publications by students,phoenix
2015-01-09T05:10:55Z,phoenix_2002spring,http://digital.lib.utk.edu/mpds/?ckey=phoenix&iid=1141,University of Tennessee (Knoxville campus) -- Students -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1959.",text,2002 Spring,The Phoenix,,"This compilation is copyrighted by the University of
Tennessee. Images, text, or other content downloaded from the
collection may be freely used for non-profit educational
and research purposes, or any other use falling
within the purview of ""Fair Use."" For any other use,
contact the University of Tennessee Libraries.","The University of Tennessee Libraries, Special Collections, Knoxville",University of Tennessee (Knoxville campus),Creator,eng,"The University of Tennessee Libraries, Knoxville",Publications by students,phoenix
2015-01-09T05:10:55Z,phoenix_1998springcultural,http://digital.lib.utk.edu/mpds/?ckey=phoenix&iid=1131,University of Tennessee (Knoxville campus) -- Students -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1959.",text,1998 Spring,The Phoenix,,"This compilation is copyrighted by the University of
Tennessee. Images, text, or other content downloaded from the
collection may be freely used for non-profit educational
and research purposes, or any other use falling
within the purview of ""Fair Use."" For any other use,
contact the University of Tennessee Libraries.","The University of Tennessee Libraries, Special Collections, Knoxville",University of Tennessee (Knoxville campus),Creator,eng,"The University of Tennessee Libraries, Knoxville",Publications by students,phoenix
2015-01-09T05:10:55Z,phoenix_1988spring,http://digital.lib.utk.edu/mpds/?ckey=phoenix&iid=1113,University of Tennessee (Knoxville campus) -- Students -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1959.",text,1988 Spring,The Phoenix,,"This compilation is copyrighted by the University of
Tennessee. Images, text, or other content downloaded from the
collection may be freely used for non-profit educational
and research purposes, or any other use falling
within the purview of ""Fair Use."" For any other use,
contact the University of Tennessee Libraries.","The University of Tennessee Libraries, Special Collections, Knoxville",University of Tennessee (Knoxville campus),Creator,eng,"The University of Tennessee Libraries, Knoxville",Publications by students,phoenix
2015-01-09T05:10:55Z,phoenix_1984spring,http://digital.lib.utk.edu/mpds/?ckey=phoenix&iid=1102,University of Tennessee (Knoxville campus) -- Students -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1959.",text,1984 Spring,The Phoenix,,"This compilation is copyrighted by the University of
Tennessee. Images, text, or other content downloaded from the
collection may be freely used for non-profit educational
and research purposes, or any other use falling
within the purview of ""Fair Use."" For any other use,
contact the University of Tennessee Libraries.","The University of Tennessee Libraries, Special Collections, Knoxville",University of Tennessee (Knoxville campus),Creator,eng,"The University of Tennessee Libraries, Knoxville",Publications by students,phoenix
2015-01-09T05:10:55Z,phoenix_1971spring,http://digital.lib.utk.edu/mpds/?ckey=phoenix&iid=1068,University of Tennessee (Knoxville campus) -- Students -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1959.",text,1971 Spring,The Phoenix,,"This compilation is copyrighted by the University of
Tennessee. Images, text, or other content downloaded from the
collection may be freely used for non-profit educational
and research purposes, or any other use falling
within the purview of ""Fair Use."" For any other use,
contact the University of Tennessee Libraries.","The University of Tennessee Libraries, Special Collections, Knoxville",University of Tennessee (Knoxville campus),Creator,eng,"The University of Tennessee Libraries, Knoxville",Publications by students,phoenix
2015-01-09T05:10:55Z,phoenix_1981spring,http://digital.lib.utk.edu/mpds/?ckey=phoenix&iid=1095,University of Tennessee (Knoxville campus) -- Students -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1959.",text,1981 Spring,The Phoenix,,"This compilation is copyrighted by the University of
Tennessee. Images, text, or other content downloaded from the
collection may be freely used for non-profit educational
and research purposes, or any other use falling
within the purview of ""Fair Use."" For any other use,
contact the University of Tennessee Libraries.","The University of Tennessee Libraries, Special Collections, Knoxville",University of Tennessee (Knoxville campus),Creator,eng,"The University of Tennessee Libraries, Knoxville",Publications by students,phoenix
2015-01-09T05:10:55Z,phoenix_1962summer,http://digital.lib.utk.edu/mpds/?ckey=phoenix&iid=1044,University of Tennessee (Knoxville campus) -- Students -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1959.",text,1962 Summer,The Phoenix,,"This compilation is copyrighted by the University of
Tennessee. Images, text, or other content downloaded from the
collection may be freely used for non-profit educational
and research purposes, or any other use falling
within the purview of ""Fair Use."" For any other use,
contact the University of Tennessee Libraries.","The University of Tennessee Libraries, Special Collections, Knoxville",University of Tennessee (Knoxville campus),Creator,eng,"The University of Tennessee Libraries, Knoxville",Publications by students,phoenix
2015-01-09T05:10:55Z,phoenix_1976winter,http://digital.lib.utk.edu/mpds/?ckey=phoenix&iid=1085,University of Tennessee (Knoxville campus) -- Students -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1959.",text,1976 Winter,The Phoenix,,"This compilation is copyrighted by the University of
Tennessee. Images, text, or other content downloaded from the
collection may be freely used for non-profit educational
and research purposes, or any other use falling
within the purview of ""Fair Use."" For any other use,
contact the University of Tennessee Libraries.","The University of Tennessee Libraries, Special Collections, Knoxville",University of Tennessee (Knoxville campus),Creator,eng,"The University of Tennessee Libraries, Knoxville",Publications by students,phoenix
2015-01-09T05:10:55Z,phoenix_1987fall,http://digital.lib.utk.edu/mpds/?ckey=phoenix&iid=1109,University of Tennessee (Knoxville campus) -- Students -- Periodicals.,"Imprints, Tennessee -- Knoxville -- 1959.",text,1987 Fall,The Phoenix,,"This compilation is copyrighted by the University of
Tennessee. Images, text, or other content downloaded from the
collection may be freely used for non-profit educational
and research purposes, or any other use falling
within the purview of ""Fair Use."" For any other use,
contact the University of Tennessee Libraries.","The University of Tennessee Libraries, Special Collections, Knoxville",University of Tennessee (Knoxville campus),Creator,eng,"The University of Tennessee Libraries, Knoxville",Publications by students,phoenix
